segment,q1_2025,q2_2025,q3_2025,q4_2025,q4_target,variance
Enterprise,680000,820000,980000,1180000,1100000,80000
Business,420000,480000,540000,620000,600000,20000
Essentials,180000,195000,210000,230000,250000,-20000
Professional Services,85000,92000,90000,120000,100000,20000
Total,1365000,1587000,1820000,2150000,2050000,100000

# Notes:
# - Enterprise segment grew 20% QoQ (strongest)
# - Essentials underperformed due to strategic de-emphasis
# - Professional Services spike from 2 implementation projects
