employee_id,department,tenure_band,level,location,manager_id
EMP001,Engineering,3-5 years,Senior IC,San Francisco,EMP100
EMP002,Engineering,1-2 years,Individual Contributor,Remote - US,EMP100
EMP003,Engineering,<1 year,Individual Contributor,San Francisco,EMP100
EMP004,Engineering,5-10 years,Manager,San Francisco,EMP200
EMP005,Sales,3-5 years,Senior IC,New York,EMP101
EMP006,Sales,1-2 years,Individual Contributor,Chicago,EMP101
EMP007,Sales,5-10 years,Director,New York,EMP201
EMP008,Marketing,3-5 years,Manager,San Francisco,EMP202
EMP009,Marketing,<1 year,Individual Contributor,Remote - US,EMP008
EMP010,Finance,10+ years,Director,San Francisco,EMP203
EMP011,Finance,3-5 years,Senior IC,San Francisco,EMP010
EMP012,HR,5-10 years,Manager,San Francisco,EMP204
EMP013,HR,1-2 years,Individual Contributor,San Francisco,EMP012
EMP014,Operations,3-5 years,Senior IC,San Francisco,EMP102
EMP015,Operations,<1 year,Individual Contributor,Remote - US,EMP102
EMP016,Product,3-5 years,Manager,San Francisco,EMP205
EMP017,Product,1-2 years,Senior IC,Remote - US,EMP016
EMP018,Customer Support,1-2 years,Individual Contributor,Austin,EMP103
EMP019,Customer Support,<1 year,Individual Contributor,Austin,EMP103
EMP020,Customer Support,3-5 years,Team Lead,Austin,EMP206
EMP021,Legal,5-10 years,Senior IC,San Francisco,EMP207
EMP022,IT,3-5 years,Manager,San Francisco,EMP208
EMP023,IT,1-2 years,Individual Contributor,Remote - US,EMP022
EMP024,Engineering,3-5 years,Senior IC,Remote - US,EMP004
EMP025,Engineering,<1 year,Individual Contributor,San Francisco,EMP004
EMP026,Operations,<1 year,Senior IC,New York,EMP128
EMP027,Engineering,<1 year,Senior IC,Remote - US,EMP111
EMP028,Operations,<1 year,Individual Contributor,New York,EMP129
EMP029,HR,<1 year,Senior IC,London,EMP183
EMP030,Product,5-10 years,Individual Contributor,Remote - US,EMP135
EMP031,Customer Support,<1 year,Team Lead,New York,EMP189
EMP032,Marketing,3-5 years,Individual Contributor,Singapore,EMP143
EMP033,Engineering,5-10 years,Individual Contributor,Singapore,EMP144
EMP034,Operations,<1 year,Senior IC,Remote - US,EMP115
EMP035,IT,5-10 years,Individual Contributor,Austin,EMP206
EMP036,Operations,3-5 years,Senior IC,London,EMP108
EMP037,Engineering,1-2 years,Team Lead,San Francisco,EMP209
EMP038,Sales,<1 year,Individual Contributor,Chicago,EMP181
EMP039,Customer Support,1-2 years,Individual Contributor,New York,EMP185
EMP040,Sales,<1 year,Senior IC,New York,EMP168
EMP041,Product,1-2 years,Individual Contributor,Austin,EMP181
EMP042,Product,1-2 years,Senior IC,Singapore,EMP198
EMP043,Customer Support,1-2 years,Team Lead,Singapore,EMP140
EMP044,Marketing,<1 year,Individual Contributor,Remote - US,EMP191
EMP045,Sales,5-10 years,Individual Contributor,London,EMP158
EMP046,Engineering,1-2 years,Individual Contributor,Remote - US,EMP168
EMP047,Sales,10+ years,Individual Contributor,Remote - US,EMP151
EMP048,Marketing,1-2 years,Senior IC,San Francisco,EMP196
EMP049,Engineering,<1 year,Individual Contributor,New York,EMP201
EMP050,Product,10+ years,Individual Contributor,Chicago,EMP176
EMP051,IT,10+ years,Individual Contributor,Remote - US,EMP210
EMP052,IT,<1 year,Senior IC,Remote - US,EMP196
EMP053,Sales,3-5 years,Individual Contributor,Chicago,EMP120
EMP054,Finance,3-5 years,Director,Singapore,EMP122
EMP055,HR,<1 year,Manager,Austin,EMP207
EMP056,Operations,10+ years,Individual Contributor,Austin,EMP197
EMP057,Engineering,10+ years,Manager,Remote - US,EMP141
EMP058,Finance,<1 year,Manager,Singapore,EMP203
EMP059,Sales,<1 year,Individual Contributor,Remote - US,EMP110
EMP060,Engineering,5-10 years,Team Lead,Singapore,EMP168
EMP061,Customer Support,1-2 years,Senior IC,Remote - US,EMP121
EMP062,Sales,10+ years,Individual Contributor,New York,EMP169
EMP063,Customer Support,1-2 years,Senior IC,Chicago,EMP185
