month,mrr,arr,new_mrr,expansion_mrr,churned_mrr,net_new_mrr
2025-01,485000,5820000,45000,12000,-8000,49000
2025-02,502000,6024000,38000,15000,-36000,17000
2025-03,528000,6336000,52000,18000,-44000,26000
2025-04,551000,6612000,41000,14000,-32000,23000
2025-05,572000,6864000,35000,16000,-30000,21000
2025-06,589000,7068000,32000,19000,-34000,17000
2025-07,607000,7284000,48000,22000,-52000,18000
2025-08,621000,7452000,29000,17000,-32000,14000
2025-09,642000,7704000,38000,21000,-38000,21000
2025-10,668000,8016000,52000,24000,-50000,26000
2025-11,692000,8304000,48000,28000,-52000,24000
2025-12,717000,8604000,56000,32000,-63000,25000

# DISCREPANCY NOTE: December churned_mrr shows $63K but financials draft shows $145K quarterly
# This is because GlobalMfg churn ($65K) was backdated to October in the spreadsheet
# but recorded in December in this tracking system. NEED TO RECONCILE.
# -- Updated by Sarah C., Jan 2
