ticket_id,summary,type,status,priority,assignee,reporter,created_date,resolved_date,sprint,story_points,labels,blocked_by,resolution,component
PHX-001,Project Phoenix - Epic: User Authentication,Epic,Done,High,Maria Santos,James Chen,2025-03-15,,Sprint 1,40,"core,security",,Completed,Authentication
PHX-002,Set up development environment and CI/CD pipeline,Story,Done,High,David Park,James Chen,2025-03-15,2025-03-22,Sprint 1,8,"infrastructure,devops",,Done,Infrastructure
PHX-003,Design database schema for user management,Story,Done,High,Sarah Kim,Maria Santos,2025-03-15,2025-03-25,Sprint 1,5,database,,Done,Database
PHX-004,Implement basic login/logout functionality,Story,Done,High,David Park,Maria Santos,2025-03-18,2025-04-02,Sprint 1,8,core,,Done,Authentication
PHX-005,Create user registration flow,Story,Done,Medium,Alex Turner,Maria Santos,2025-03-20,2025-04-05,Sprint 2,5,core,,Done,Authentication
PHX-006,Implement password reset functionality,Story,Done,Medium,Sarah Kim,Maria Santos,2025-03-22,2025-04-08,Sprint 2,3,core,,Done,Authentication
PHX-007,Set up OAuth integration with Google,Story,Done,Medium,David Park,James Chen,2025-03-25,2025-04-15,Sprint 2,8,"integration,oauth",,Done,Authentication
PHX-008,Epic: Dashboard Module,Epic,Done,High,Alex Turner,James Chen,2025-03-28,,Sprint 3,55,"core,frontend",,Completed,Dashboard
PHX-009,Design dashboard wireframes,Story,Done,High,Jennifer Liu,Alex Turner,2025-03-28,2025-04-05,Sprint 2,3,design,,Done,Dashboard
PHX-010,Implement dashboard layout components,Story,Done,Medium,Michael Brown,Alex Turner,2025-04-01,2025-04-18,Sprint 3,8,frontend,,Done,Dashboard
PHX-011,Create data visualization widgets,Story,Done,Medium,Jennifer Liu,Alex Turner,2025-04-05,2025-04-25,Sprint 3,13,frontend,,Done,Dashboard
PHX-012,Implement real-time data updates,Story,Done,High,David Park,Alex Turner,2025-04-08,2025-05-02,Sprint 4,8,"backend,websocket",,Done,Dashboard
PHX-013,Epic: Reporting Engine,Epic,Done,High,Sarah Kim,James Chen,2025-04-10,,Sprint 4,89,"core,analytics",,Completed,Reporting
PHX-014,Design report template system,Story,Done,Medium,Jennifer Liu,Sarah Kim,2025-04-10,2025-04-22,Sprint 3,5,design,,Done,Reporting
