response_id,department,tenure,level,submission_date,Engagement_Q1,Engagement_Q2,Engagement_Q3,Satisfaction_Q1,Satisfaction_Q2,Satisfaction_Q3,Leadership_Q1,Leadership_Q2,Leadership_Q3,Growth_Q1,Growth_Q2,Growth_Q3,Culture_Q1,Culture_Q2,Culture_Q3,Wellbeing_Q1,Wellbeing_Q2,Wellbeing_Q3
R2025-0001,Customer Support,<1 year,Director,2025-01-10,3,4,4,4,2,3,3,3,3,4,2,2,3,3,3,3,4,2
R2025-0002,Sales,3-5 years,Individual Contributor,2025-01-10,4,5,3,3,4,4,2,2,3,2,4,3,2,3,2,2,2,2
R2025-0003,Engineering,3-5 years,VP+,2025-01-10,5,4,4,3,2,4,4,4,3,2,3,3,3,3,4,4,3,5
R2025-0004,IT,3-5 years,Director,2025-01-11,4,2,3,3,3,4,3,5,3,3,3,2,4,3,4,4,2,3
R2025-0005,Customer Support,1-2 years,Manager,2025-01-12,1,5,4,4,3,1,3,3,2,2,2,4,3,3,1,2,3,2
R2025-0006,Product,5-10 years,VP+,2025-01-16,3,4,4,4,3,2,5,3,3,3,2,2,3,4,4,4,5,3
R2025-0007,Engineering,3-5 years,Senior IC,2025-01-06,4,4,5,3,4,4,3,3,3,2,4,3,5,5,4,3,2,3
R2025-0008,Sales,10+ years,VP+,2025-01-17,3,2,2,4,2,4,2,3,3,3,2,3,5,4,4,3,4,3
R2025-0009,Product,1-2 years,Director,2025-01-13,4,4,5,3,2,4,3,3,4,4,3,4,4,3,4,3,3,4
R2025-0010,Engineering,1-2 years,Individual Contributor,2025-01-14,3,4,4,4,4,3,4,3,5,4,5,2,5,3,4,4,4,4
R2025-0011,Engineering,<1 year,Individual Contributor,2025-01-12,4,5,3,4,5,3,2,3,4,4,5,3,3,4,5,4,2,3
R2025-0012,Sales,<1 year,Manager,2025-01-07,3,3,5,4,2,4,2,2,3,3,2,2,3,4,3,2,3,3
R2025-0013,Customer Support,1-2 years,Individual Contributor,2025-01-20,3,3,1,4,3,3,3,3,4,2,3,2,4,5,3,2,4,3
R2025-0014,Engineering,3-5 years,Manager,2025-01-10,4,4,4,3,5,3,4,4,3,4,3,2,3,4,4,3,2,2
R2025-0015,Engineering,<1 year,VP+,2025-01-08,3,3,4,3,3,4,5,4,4,3,4,3,4,4,3,5,4,2
R2025-0016,HR,1-2 years,Individual Contributor,2025-01-16,5,4,4,3,3,3,5,2,5,3,3,3,4,3,5,3,4,2
R2025-0017,Marketing,<1 year,Director,2025-01-07,3,4,3,3,4,3,4,2,3,4,3,4,5,4,3,4,3,2
R2025-0018,Finance,10+ years,Individual Contributor,2025-01-20,4,3,4,3,4,4,3,2,2,3,2,4,4,5,5,3,2,3
R2025-0019,IT,3-5 years,Individual Contributor,2025-01-11,2,4,4,3,3,3,4,2,3,2,3,2,4,5,3,4,3,4
R2025-0020,HR,3-5 years,Individual Contributor,2025-01-10,3,4,3,3,3,4,3,4,4,2,3,4,3,4,3,4,3,2
R2025-0021,Marketing,5-10 years,Individual Contributor,2025-01-06,5,4,3,3,2,4,2,3,2,4,4,4,5,3,5,2,3,5
R2025-0022,IT,3-5 years,Individual Contributor,2025-01-14,3,5,2,4,2,1,1,2,4,2,3,2,4,3,5,2,2,3
R2025-0023,Marketing,5-10 years,Individual Contributor,2025-01-18,4,3,4,4,3,3,2,5,4,4,3,4,4,5,3,4,5,4
R2025-0024,HR,10+ years,Manager,2025-01-17,5,4,3,3,4,3,2,4,4,2,3,2,5,3,4,4,2,4
R2025-0025,HR,3-5 years,VP+,2025-01-13,5,3,2,3,2,3,4,4,3,3,3,4,3,4,4,3,4,3
R2025-0026,Engineering,3-5 years,Director,2025-01-14,5,4,4,4,4,4,4,3,4,3,4,4,5,5,3,4,3,4
R2025-0027,IT,3-5 years,VP+,2025-01-19,4,4,2,2,2,2,2,4,3,4,3,3,3,3,3,2,3,2
R2025-0028,Engineering,1-2 years,Senior IC,2025-01-16,3,4,3,5,4,3,4,3,4,2,2,4,5,4,4,2,3,3
R2025-0029,IT,3-5 years,Individual Contributor,2025-01-19,3,5,3,4,3,2,3,2,2,3,2,3,4,4,2,2,2,3
