ticket_id,created_date,category,priority,status,resolution_time_hours,satisfaction_score,description
TKT-4401,2025-10-03,Feature Request,Low,Closed,48,4,"Request for bulk export functionality"
TKT-4402,2025-10-07,Bug,Medium,Closed,12,5,"Dashboard loading slowly - resolved with cache clear"
TKT-4403,2025-10-12,How-To,Low,Closed,2,5,"User training question on reporting module"
TKT-4404,2025-10-18,Bug,Medium,Closed,8,4,"Sync delay on mobile app"
TKT-4405,2025-10-25,Feature Request,Low,Closed,72,3,"API rate limit increase request"
TKT-4406,2025-11-02,Integration,Medium,Closed,24,4,"Salesforce connector configuration issue"
TKT-4407,2025-11-08,Critical,Critical,Closed,6,2,"URGENT: Platform unavailable - affecting all users"
TKT-4408,2025-11-08,Critical,Critical,Closed,6,1,"Cannot access any data - business impact severe"
TKT-4409,2025-11-08,Critical,Critical,Closed,8,2,"Complete system outage - exec escalation"
TKT-4410,2025-11-09,Critical,High,Closed,18,3,"Data sync issues following platform restoration"
TKT-4411,2025-11-09,Bug,High,Closed,14,3,"Missing transactions from Nov 8 - need recovery"
TKT-4412,2025-11-10,Bug,Medium,Closed,10,4,"Intermittent slowness post-incident"
TKT-4413,2025-11-15,How-To,Low,Closed,3,5,"New user onboarding assistance"
TKT-4414,2025-11-19,Feature Request,Low,Closed,96,4,"Request for custom dashboard widgets"
TKT-4415,2025-11-22,Bug,Low,Closed,6,5,"Minor UI glitch in settings page"
TKT-4416,2025-12-01,How-To,Low,Closed,1,5,"Password reset assistance"
TKT-4417,2025-12-05,Integration,Medium,Closed,16,4,"Webhook delivery delays"
TKT-4418,2025-12-10,Bug,Low,Closed,4,5,"Report formatting issue"
TKT-4419,2025-12-15,Feature Request,Medium,Open,,"Request for SSO improvements"
TKT-4420,2025-12-18,How-To,Low,Closed,2,5,"Admin console training"
